web-scraper-order,web-scraper-start-url,name,price,description,image-src
"1585939948-5353","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Linen Shirt","$ 59.99","Light blue
	
				White",""
"1585939948-5291","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Relaxed Fit Shorts","$ 29.99","Dark blue
	
				Light beige melange
	
				Khaki green",""
"1585939948-5316","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Striped Linen T-shirt","$ 34.99","Dark green/natural white
	
				Brown/natural white
	
				Dark blue/natural white",""
"1585939948-5105","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Skinny Fit Suit Pants","$ 19.99","Black
	
				Dark blue",""
"1585939948-5222","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton Chinos","$ 17.99","Dark blue
	
				Beige
	
				Black",""
"1585939948-5219","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Reversible Bomber Jacket","$ 49.99","Black/ornamental
	
				Black/patterned",""
"1585939948-5230","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Sweatpants","$ 24.99","Dark blue",""
"1585939948-5097","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Muscle Fit Piqué Polo Shirt","$ 14.99","Dark blue
	
				White
	
				Burgundy
	
				Black",""
"1585939948-5013","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Skinny Fit Blazer","$ 69.99","Dark blue
	
				Black
	
				Light gray melange
	
				Blue melange","//lp2.hm.com/hmgoepprod?set=source[/de/9d/de9dcfaa7210597927b5d6d5c40a4c778ef7e9e7.jpg],origin[dam],category[men_blazerssuits_blazers],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585939948-5031","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Sweatshirt","$ 14.99","Black
	
				Light gray melange
	
				White
	
				Dark green",""
"1585939948-5335","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Linen Henley Shirt","$ 59.99","Light blue
	
				White
	
				Dark blue
	
				Black",""
"1585939948-5213","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Short-sleeved Cotton Shirt","$ 12.99","Khaki green
	
				Black
	
				Light blue
	
				Light yellow",""
"1585939948-5139","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Relaxed Fit Linen Pants","$ 34.99","Dark gray
	
				Light beige
	
				Dark blue
	
				Brown",""
"1585939948-5385","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Suit Pants","$ 34.99","Black
	
				Gray/pinstriped
	
				Dark blue/chalkstripe
	
				Dark blue",""
"1585939948-5366","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Coolmax® Polo Shirt","$ 17.99","Black
	
				White
	
				Sage green
	
				Blue melange",""
"1585939948-5195","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Patterned Muscle Fit T-shirt","$ 14.99","White/black striped
	
				Black/white patterned
	
				White/patterned
	
				Khaki green/leaf print",""
"1585939948-5035","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Cotton Shirt","$ 24.99","Green/checked
	
				Khaki green/checked
	
				Blue/checked
	
				Red/checked",""
"1585939948-5279","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Relaxed Fit Shorts","$ 29.99","Dark blue
	
				Light beige melange
	
				Khaki green",""
"1585939948-5421","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Jersey Shirt","$ 24.99","Black",""
"1585939948-5189","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Joggers","$ 34.99","Black
	
				Dark gray melange
	
				Dark beige/plaid
	
				Light gray melange",""
"1585939948-5267","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Sweatshirt","$ 17.99","White
	
				Black
	
				Khaki green
	
				Gray melange",""
"1585939948-5351","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton Polo Shirt","$ 12.99","White
	
				Light blue melange
	
				Dark blue",""
"1585939948-5138","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","T-shirt with Printed Design","$ 19.99","Light beige/Post Malone
	
				Light pink/SpongeBob
	
				Light pink/striped",""
"1585939948-5183","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Relaxed Fit T-shirt","$ 12.99","White
	
				Black
	
				Dark blue/white striped
	
				Dark gray",""
"1585939948-5197","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Easy-iron Shirt","$ 14.99","Dark blue/patterned
	
				White
	
				Black
	
				Light blue",""
"1585939948-5348","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Shirt","$ 24.99","Black
	
				White
	
				Light blue",""
"1585939948-5026","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Printed Hoodie","$ 34.99","Orange/NASA
	
				Light beige/NASA",""
"1585939948-5418","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Cotton Shirt","$ 29.99","Red/checked
	
				Brown/plaid
	
				Orange/plaid
	
				Blue/plaid",""
